threshold,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,approval_rate,default_rate_if_approved
0.1,0.4633646844660194,0.26073818260306497,0.9148049981067777,0.405811707399009,3693,6850,225,2416,0.2971783980582524,0.05742725880551302
0.15000000000000002,0.5858616504854369,0.30388200918324754,0.8269594850435441,0.4444444444444444,5540,5003,457,2184,0.45486953883495146,0.07620476905119226
0.20000000000000004,0.6817354368932039,0.35662917204499356,0.7322983718288527,0.47966269841269843,7054,3489,707,1934,0.5886680825242718,0.09109650818193532
0.25000000000000006,0.7607706310679612,0.4318363008238108,0.6152972358954941,0.5074953154278576,8405,2138,1016,1625,0.7145782766990292,0.1078441779004352
0.30000000000000004,0.8068871359223301,0.5189924030387845,0.49148049981067776,0.5048619214313496,9340,1203,1343,1298,0.8103003640776699,0.1257137508190583
0.3500000000000001,0.8222087378640777,0.5792,0.4112078758046195,0.4809565987599646,9754,789,1555,1086,0.8577821601941747,0.1375011053143514
0.40000000000000013,0.832372572815534,0.6464989802855201,0.3600908746686861,0.4625486381322957,10023,520,1690,951,0.8884253640776699,0.14428412874583796
0.45000000000000007,0.8375303398058253,0.7209920283436669,0.3082165846270352,0.4318302387267905,10228,315,1827,814,0.9143658980582524,0.15155537121526338
0.5000000000000001,0.8377578883495146,0.8083538083538083,0.24914804998106777,0.3808972503617945,10387,156,1983,658,0.9382584951456311,0.1603071948261924
0.5500000000000002,0.8390473300970874,0.909952606635071,0.218099204846649,0.35186316432498477,10486,57,2065,576,0.9519872572815534,0.1645287228109314
0.6000000000000002,0.8360891990291263,0.9633204633204633,0.18894358197652406,0.3159227603672049,10524,19,2142,499,0.9607099514563107,0.16911416390336334
0.6500000000000001,0.8340412621359223,0.9829424307036247,0.17455509276789094,0.2964630225080386,10535,8,2180,461,0.9644265776699029,0.17145104207628786
0.7000000000000002,0.8334344660194175,0.9955456570155902,0.16925407042786822,0.28932038834951457,10541,2,2194,447,0.9659435679611651,0.1722811150372988
0.7500000000000002,0.8332827669902912,0.9977528089887641,0.16811813706929193,0.28775113415424497,10542,1,2197,444,0.9662469660194175,0.17246251668105816
0.8000000000000002,0.8332827669902912,0.9977528089887641,0.16811813706929193,0.28775113415424497,10542,1,2197,444,0.9662469660194175,0.17246251668105816
0.8500000000000002,0.8332827669902912,0.9977528089887641,0.16811813706929193,0.28775113415424497,10542,1,2197,444,0.9662469660194175,0.17246251668105816
0.9000000000000002,0.8332827669902912,0.9977528089887641,0.16811813706929193,0.28775113415424497,10542,1,2197,444,0.9662469660194175,0.17246251668105816
